timestamp_seconds,timestamp_human,quadrant,well,spot_1_x,spot_1_y,spot_1_r,spot_2_x,spot_2_y,spot_2_r
1740587030,26/02/2025 16:23:50,2,0,614,734,43,1445,765,40
1740587030,26/02/2025 16:23:50,2,1,2747,832,43,3577,868,47
1740587039,26/02/2025 16:23:59,3,0,725,605,31,1431,647,31
1740587039,26/02/2025 16:23:59,3,1,2559,638,33,3279,623,37
1740587014,26/02/2025 16:23:34,4,0,585,887,39,1441,891,37
1740587014,26/02/2025 16:23:34,4,1,2823,810,46,3661,861,37
1740587022,26/02/2025 16:23:42,5,0,1008,909,34,2048,970,50
1740587022,26/02/2025 16:23:42,5,1,3665,967,46,4630,998,47
1740587914,26/02/2025 16:38:34,0,0,474,621,32,1140,606,28
1740587914,26/02/2025 16:38:34,0,1,2160,562,32,2839,547,30
1740587922,26/02/2025 16:38:42,1,0,607,436,28,1248,479,27
1740587922,26/02/2025 16:38:42,1,1,2210,503,29,2821,515,28
1740587930,26/02/2025 16:38:50,2,0,611,738,35,1443,758,37
1740587930,26/02/2025 16:38:50,2,1,2747,832,43,3582,877,39
1740587939,26/02/2025 16:38:59,3,0,724,608,32,1428,645,32
1740587939,26/02/2025 16:38:59,3,1,2563,637,33,3276,622,35
1740587914,26/02/2025 16:38:34,4,0,589,889,41,1445,893,39
1740587914,26/02/2025 16:38:34,4,1,2824,811,47,3659,862,37
1740587922,26/02/2025 16:38:42,5,0,1011,911,35,2049,966,47
1740587922,26/02/2025 16:38:42,5,1,3661,963,47,4629,996,45
1740588814,26/02/2025 16:53:34,0,0,480,620,30,1137,610,33
1740588814,26/02/2025 16:53:34,0,1,2160,566,31,2839,546,31
1740588822,26/02/2025 16:53:42,1,0,609,434,27,1247,477,28
1740588822,26/02/2025 16:53:42,1,1,2209,503,29,2825,514,30
1740588830,26/02/2025 16:53:50,2,0,600,729,34,1443,761,38
1740588830,26/02/2025 16:53:50,2,1,2749,829,46,3582,876,37
1740588839,26/02/2025 16:53:59,3,0,723,607,34,1432,649,34
1740588839,26/02/2025 16:53:59,3,1,2563,636,34,3277,622,35
1740588814,26/02/2025 16:53:34,4,0,585,884,36,1444,892,39
1740588814,26/02/2025 16:53:34,4,1,2822,808,45,3660,860,36
1740588822,26/02/2025 16:53:42,5,0,1006,918,40,2050,976,45
1740588822,26/02/2025 16:53:42,5,1,3665,974,39,4629,995,44
1740589714,26/02/2025 17:08:34,0,0,483,617,27,1134,602,34
1740589714,26/02/2025 17:08:34,0,1,2159,563,31,2839,548,30
1740589722,26/02/2025 17:08:42,1,0,610,436,27,1248,479,27
1740589722,26/02/2025 17:08:42,1,1,2209,503,29,2825,515,28
1740589730,26/02/2025 17:08:50,2,0,605,738,29,1440,766,40
1740589730,26/02/2025 17:08:50,2,1,2750,836,40,3578,877,37
1740589739,26/02/2025 17:08:59,3,0,722,607,35,1425,647,35
1740589739,26/02/2025 17:08:59,3,1,2563,639,34,3274,621,33
1740589714,26/02/2025 17:08:34,4,0,586,886,37,1442,891,37
1740589714,26/02/2025 17:08:34,4,1,2824,809,46,3658,860,36
1740589722,26/02/2025 17:08:42,5,0,1021,908,43,2052,976,42
1740589722,26/02/2025 17:08:42,5,1,3666,974,39,4628,991,40
1740590614,26/02/2025 17:23:34,0,0,480,624,27,1133,607,32
1740590614,26/02/2025 17:23:34,0,1,2161,564,31,2837,550,30
1740590622,26/02/2025 17:23:42,1,0,610,435,27,1246,478,28
1740590622,26/02/2025 17:23:42,1,1,2209,503,29,2821,514,28
1740590630,26/02/2025 17:23:50,2,0,599,728,35,1437,763,43
1740590630,26/02/2025 17:23:50,2,1,2749,833,43,3581,881,39
1740590639,26/02/2025 17:23:59,3,0,722,608,34,1429,645,34
1740590639,26/02/2025 17:23:59,3,1,2561,636,34,3276,624,36
1740590614,26/02/2025 17:23:34,4,0,590,888,41,1443,894,40
1740590614,26/02/2025 17:23:34,4,1,2823,809,45,3659,856,40
1740590622,26/02/2025 17:23:42,5,0,1002,920,48,2051,972,44
1740590622,26/02/2025 17:23:42,5,1,3672,969,44,4629,995,43
1740591514,26/02/2025 17:38:34,0,0,477,625,28,1137,607,32
1740591514,26/02/2025 17:38:34,0,1,2161,564,31,2838,547,30
1740591532,26/02/2025 17:38:52,1,0,609,435,27,1248,477,28
1740591532,26/02/2025 17:38:52,1,1,2209,503,29,2824,514,30
1740591541,26/02/2025 17:39:01,2,0,605,736,28,1444,764,42
1740591541,26/02/2025 17:39:01,2,1,2758,827,52,3582,879,40
1740591549,26/02/2025 17:39:09,3,0,723,608,33,1429,646,33
1740591549,26/02/2025 17:39:09,3,1,2562,637,34,3276,623,36
1740591514,26/02/2025 17:38:34,4,0,587,895,32,1442,891,37
1740591514,26/02/2025 17:38:34,4,1,2824,808,45,3667,861,43
1740591532,26/02/2025 17:38:52,5,0,1001,921,47,2049,969,48
1740591532,26/02/2025 17:38:52,5,1,3665,972,40,4629,995,43
1740592414,26/02/2025 17:53:34,0,0,472,619,34,1136,594,38
1740592414,26/02/2025 17:53:34,0,1,2160,564,32,2838,549,34
1740592432,26/02/2025 17:53:52,1,0,610,436,27,1248,480,28
1740592432,26/02/2025 17:53:52,1,1,2209,502,29,2824,514,30
1740592441,26/02/2025 17:54:01,2,0,607,736,27,1443,758,36
1740592441,26/02/2025 17:54:01,2,1,2750,837,41,3583,877,38
1740592449,26/02/2025 17:54:09,3,0,722,607,35,1427,645,35
1740592449,26/02/2025 17:54:09,3,1,2565,636,35,3276,623,36
1740592414,26/02/2025 17:53:34,4,0,588,895,30,1444,892,39
1740592414,26/02/2025 17:53:34,4,1,2824,809,45,3667,862,44
1740592432,26/02/2025 17:53:52,5,0,1009,911,37,2047,964,45
1740592432,26/02/2025 17:53:52,5,1,3662,962,47,4629,994,43
1740593314,26/02/2025 18:08:34,0,0,480,622,29,1127,601,41
1740593314,26/02/2025 18:08:34,0,1,2160,563,32,2842,548,34
1740593322,26/02/2025 18:08:42,1,0,610,435,27,1247,478,28
1740593322,26/02/2025 18:08:42,1,1,2210,502,30,2823,515,28
1740593330,26/02/2025 18:08:50,2,0,610,734,30,1443,759,37
1740593330,26/02/2025 18:08:50,2,1,2749,833,44,3583,876,38
1740593339,26/02/2025 18:08:59,3,0,723,606,34,1426,647,34
1740593339,26/02/2025 18:08:59,3,1,2558,638,34,3276,623,35
1740593314,26/02/2025 18:08:34,4,0,585,895,33,1445,893,40
