t(s),Exx(%),Eyy(%)
0.028966188430786133,7.0207812744677245,-3.5299355576527747
0.04579019546508789,6.9880821973862695,-3.456046924135936
0.06563401222229004,6.9422887488755025,-3.432606709556374
0.0862123966217041,7.007487666343226,-3.4446652228161456
0.10613155364990234,6.999146701011649,-3.3644975676248356
0.12624025344848633,6.914532750922864,-3.3425766044742677
0.14624357223510742,7.006935114904311,-3.342375129698516
0.16600942611694336,6.974523479895645,-3.4315890899356827
0.18600201606750488,6.957361703694165,-3.3678394932394884
0.20654773712158203,6.978043252573318,-3.3714379806645933
0.3299717903137207,6.964116055049696,-3.4676887885464525
0.37827086448669434,6.996687758486386,-3.3566277658305887
0.3982875347137451,7.034798814795606,-3.3295759672832936
0.41837334632873535,6.960866782736463,-3.4006148783354395
0.43836426734924316,6.9265222509133695,-3.444617228761271
0.45867323875427246,7.029485890708398,-3.443594496887792
0.47833800315856934,7.001450053137193,-3.5525274451284727
0.4982643127441406,7.0304940123744775,-3.3605081316224528
0.5262117385864258,6.983984184190795,-3.4878703243480857
0.5464737415313721,6.997386490466684,-3.3720620554065217
0.5657932758331299,7.014162656379863,-3.459919478095852
0.585721492767334,6.939078982415747,-3.503725008015457
0.605720043182373,7.012886073108904,-3.480121940274039
0.6257381439208984,6.970701093211562,-3.485534891020947
0.6457827091217041,6.996736479925314,-3.5372040410948435
0.6662142276763916,6.95101907798692,-3.445875835669554
0.6857302188873291,7.009687267132314,-3.5479252153287955
0.7057492733001709,6.989181385319632,-3.3869303848741317
0.7260992527008057,6.97797893759331,-3.35427308091919
0.7479870319366455,7.008146167525142,-3.5188467125692013
0.7681543827056885,6.915308467267001,-3.48415134515927
0.8101365566253662,6.943429521408828,-3.5193207331392307
0.8301315307617188,6.937556319057103,-3.5864289437565255
0.8504796028137207,6.931314719037851,-3.507684927900323
0.8702423572540283,6.895737772231625,-3.554210755226639
0.8901784420013428,6.903638533327361,-3.550254205174841
0.9101688861846924,6.875192599118352,-3.6234311942874964
0.93023681640625,6.881606164078979,-3.6102791547126145
0.9505288600921631,6.9121591331660515,-3.5305052718291985
0.9703207015991211,6.88876273849921,-3.591989099908166
0.9901974201202393,6.869410059159731,-3.5943464068793785
1.010197639465332,6.871945502095844,-3.5678402486794214
1.0303256511688232,6.914027945305579,-3.5933386941678913
1.0502266883850098,6.876688069696568,-3.595301593367395
1.0701749324798584,6.908092397646848,-3.608545832856036
1.0901927947998047,6.86097608145948,-3.5613215946014187
1.1101915836334229,6.848992267428611,-3.6212543578694745
1.1301910877227783,6.842901955103153,-3.595476720212798
1.1501975059509277,6.863482578946889,-3.616628899635499
1.170165777206421,6.892214403330588,-3.561761915091499
1.190546989440918,6.89413698529906,-3.690792267256382
1.2101867198944092,6.854865740629057,-3.619052694076086
1.230165719985962,6.879977892397182,-3.572738630784733
1.2503039836883545,6.87050113441543,-3.606495721659597
1.2701423168182373,6.833288237811752,-3.637768781493167
1.290151834487915,6.872706468811063,-3.6378679881777676
1.3101348876953125,6.897040544024491,-3.6947953121321597
1.3303701877593994,6.89249231208664,-3.645620124127835
1.3501708507537842,6.963631358886002,-3.6229300080455773
1.3701715469360352,6.993662223088348,-3.6402527123697626
1.3902084827423096,6.94908960470062,-3.598354412047322
1.4102249145507812,6.9708512574290005,-3.614354177703505
1.430342435836792,6.949396242981165,-3.649370892786241
1.4501783847808838,6.955257933637404,-3.6420647332717104
1.4701502323150635,7.001152493275575,-3.6064817898112222
1.4901618957519531,6.967745285099225,-3.6297681597144527
1.510514736175537,6.976278890371623,-3.5985131205510834
1.5303122997283936,6.95231231211928,-3.6499479683676617
1.5501735210418701,6.996087875873114,-3.639269325416694
1.5701570510864258,7.0234979295143996,-3.6661544642491606
1.5901734828948975,7.0020932428502825,-3.683401933428654
1.6102240085601807,7.019115665617592,-3.691351256277997
1.6304571628570557,7.034982454317618,-3.6296959973563414
1.6501579284667969,7.023112714107649,-3.606103615161249
1.6701829433441162,7.048476188262964,-3.61245104489486
1.6904888153076172,7.010023708660262,-3.6926208915053604
1.7945363521575928,7.0353288620822685,-3.633654536739428
1.8582680225372314,7.041428374865322,-3.6751462319426498
1.886125087738037,7.010304324840733,-3.7048716418283
1.90816068649292,7.032741705175027,-3.691246318090735
1.9344682693481445,7.094091321015172,-3.705320031123416
1.9623439311981201,7.060989377720528,-3.724428741960406
2.021054983139038,7.092003764999388,-3.7475967620342665
2.040940761566162,7.051082124304742,-3.7265615550285514
2.0608720779418945,7.089902139315862,-3.7504745254624994
2.0810420513153076,7.093443218866624,-3.741455144917305
2.1009626388549805,7.104756952364566,-3.7339572508128582
2.1209075450897217,7.161099892033995,-3.737043150674857
2.1408896446228027,7.090417991364428,-3.7222223085007777
2.160883665084839,7.127709690602102,-3.683770183519841
2.1809470653533936,7.177663263762812,-3.7248996665423917
2.200906991958618,7.120463332119531,-3.7651891740667076
2.2208943367004395,7.220575548254282,-3.6936134237401386
2.2409138679504395,7.218725873881149,-3.723512011823349
2.2608983516693115,7.157633512090644,-3.696131760079502
2.2809267044067383,7.175805178305961,-3.7251257540258487
2.301187753677368,7.169206333063838,-3.736479572571183
2.320958375930786,7.22548804939751,-3.713447863399133
2.3409578800201416,7.165643479682582,-3.778564514939442
2.3608717918395996,7.158428037380338,-3.736347317028954
2.3904097080230713,7.228578008780051,-3.763405931160557
2.4100661277770996,7.169135767726464,-3.7640228909902596
2.430234909057617,7.225720006300307,-3.790590941659533
2.4500644207000732,7.220727676169902,-3.806111482767327
2.469998598098755,7.240472935499986,-3.7916499626032385
2.49765682220459,7.2284723698334385,-3.855770469665054
2.516972541809082,7.276559763660062,-3.7916499626032385
2.536970853805542,7.243077420130994,-3.799861094675261
2.5569751262664795,7.214413098063233,-3.77248932800347
2.5770063400268555,7.280645781486594,-3.787701806303434
2.5969603061676025,7.274570311260287,-3.7818572498536818
2.616959571838379,7.315835472178001,-3.779013707749712
2.6369469165802,7.272258782232477,-3.7775157631024014
2.656973361968994,7.262983305369763,-3.8151699669678796
2.677035331726074,7.353125605075794,-3.8419406239649567
2.696951389312744,7.329975051827464,-3.8198412014637695
2.7169618606567383,7.2982318469233975,-3.8297379198184545
2.7369515895843506,7.358076573943495,-3.810560432062171
2.7571284770965576,7.3758599407903525,-3.827099900571318
2.7770278453826904,7.361557428786214,-3.822140318003653
2.7969436645507812,7.336942536466129,-3.8362337792840484
2.8175175189971924,7.43115036937898,-3.817069616244373
2.836960554122925,7.388625449263975,-3.85414600607924
2.857102870941162,7.367652098052546,-3.833621285661004
2.877316951751709,7.417902526539022,-3.8062260525155267
2.8974311351776123,7.39659843612217,-3.85097403357193
2.916992664337158,7.390991818238524,-3.824308905127227
2.9370036125183105,7.42487985833109,-3.840130469843206
2.95707631111145,7.441716607293025,-3.8253800624057255
2.9769935607910156,7.418596723610871,-3.7929724998194025
2.9969847202301025,7.43019523840267,-3.8199348940411437
3.0169625282287598,7.4080688931086325,-3.85097403357193
3.037022590637207,7.409773084408,-3.8470906677293804
3.056973934173584,7.468912441467013,-3.837335521633245
3.076944589614868,7.46512582688128,-3.8297379198184545
3.097015619277954,7.407120489984198,-3.8297379198184545
3.1169509887695312,7.430551050773215,-3.9537846269563137
3.1372599601745605,7.473945913125668,-3.949516920111873
3.1572771072387695,7.462216010432665,-3.901143942237173
3.17726731300354,7.46354054091678,-3.9479284329266284
3.197272300720215,7.450411317838679,-3.912562569262157
3.2170116901397705,7.4927909625166045,-3.940379338369615
3.2370455265045166,7.490776750696138,-3.9074698584948386
3.256984233856201,7.450386149836086,-3.8470906677293804
